celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us,fonte_carbono
az-em2021-folgada,cnemesis,42,305e2b27726305e196eea090fabc312280b39e1f,40.95794527794074,8483.308342896931,460,3768765.2673158646,125.5125,18,0,13220,em2021
az-em2021-folgada,cnemesis,43,305e2b27726305e196eea090fabc312280b39e1f,40.62164795837793,8124.0220335593385,460,3768657.904258728,129.19583333333333,604,0,12819,em2021
az-em2021-folgada,cnemesis,44,305e2b27726305e196eea090fabc312280b39e1f,40.325433183218216,8080.121272750639,460,3768653.5190114975,126.65416666666667,0,0,13445,em2021
az-em2021-folgada,cnemesis,45,305e2b27726305e196eea090fabc312280b39e1f,40.859360447893934,8488.85413096836,460,3769105.837015152,125.99166666666666,883,0,11769,em2021
az-em2021-folgada,cnemesis,46,305e2b27726305e196eea090fabc312280b39e1f,39.78609342868325,8197.532687975057,460,3769170.633002281,123.32083333333334,344,0,11640,em2021
az-em2021-folgada,cnemesis,47,305e2b27726305e196eea090fabc312280b39e1f,40.361569098040725,8465.069713108871,460,3768795.591283798,125.45,659,0,12876,em2021
az-em2021-folgada,cnemesis,48,305e2b27726305e196eea090fabc312280b39e1f,41.27645007843622,8423.616613577928,460,3768671.0444145203,127.57916666666667,1091,0,11283,em2021
az-em2021-folgada,cnemesis,49,305e2b27726305e196eea090fabc312280b39e1f,39.914302121155025,8157.851889745369,460,3768740.886911392,124.20416666666667,0,0,10920,em2021
az-em2021-folgada,cnemesis,50,305e2b27726305e196eea090fabc312280b39e1f,40.439564485634506,8072.287109315259,460,3769104.322696686,126.91666666666667,159,0,12035,em2021
az-em2021-folgada,cnemesis,51,305e2b27726305e196eea090fabc312280b39e1f,40.25306780397638,8198.040797180443,460,3768975.450407982,125.95416666666667,468,0,12179,em2021
az-em2021-folgada,ffd,42,305e2b27726305e196eea090fabc312280b39e1f,46.453732958994316,20382.230968583775,0,0.0,131.025,0,0,1379,em2021
az-em2021-folgada,ffd,43,305e2b27726305e196eea090fabc312280b39e1f,46.19077928062234,20765.198007304327,0,0.0,133.475,0,0,1370,em2021
az-em2021-folgada,ffd,44,305e2b27726305e196eea090fabc312280b39e1f,45.6659085640828,20633.806735379017,0,0.0,130.75416666666666,0,0,1259,em2021
az-em2021-folgada,ffd,45,305e2b27726305e196eea090fabc312280b39e1f,47.01256642139194,20625.223473422237,0,0.0,134.85,0,0,1105,em2021
az-em2021-folgada,ffd,46,305e2b27726305e196eea090fabc312280b39e1f,46.51755723418144,20713.431038667943,0,0.0,134.77916666666667,0,0,1315,em2021
az-em2021-folgada,ffd,47,305e2b27726305e196eea090fabc312280b39e1f,45.89355201728401,20241.273208639708,0,0.0,133.07083333333333,0,0,1540,em2021
az-em2021-folgada,ffd,48,305e2b27726305e196eea090fabc312280b39e1f,46.673229744385,20620.438440642043,0,0.0,132.8,0,0,1133,em2021
az-em2021-folgada,ffd,49,305e2b27726305e196eea090fabc312280b39e1f,46.02384344015225,20333.991120209655,0,0.0,133.55416666666667,0,0,1692,em2021
az-em2021-folgada,ffd,50,305e2b27726305e196eea090fabc312280b39e1f,46.09956426938515,20361.473783421276,0,0.0,132.875,0,0,1188,em2021
az-em2021-folgada,ffd,51,305e2b27726305e196eea090fabc312280b39e1f,46.633019672700094,20770.867008146164,0,0.0,134.88333333333333,0,0,1446,em2021
az-em2021-folgada,first_fit,42,305e2b27726305e196eea090fabc312280b39e1f,45.02646808483138,20589.05688085955,0,0.0,131.0375,0,0,1162,em2021
az-em2021-folgada,first_fit,43,305e2b27726305e196eea090fabc312280b39e1f,44.40161747967264,20786.51400204192,0,0.0,130.6,0,0,1531,em2021
az-em2021-folgada,first_fit,44,305e2b27726305e196eea090fabc312280b39e1f,44.442636311476576,20888.14068250436,0,0.0,130.07916666666668,0,0,1317,em2021
az-em2021-folgada,first_fit,45,305e2b27726305e196eea090fabc312280b39e1f,45.230992299929156,20552.394896369966,0,0.0,133.6,0,0,1033,em2021
az-em2021-folgada,first_fit,46,305e2b27726305e196eea090fabc312280b39e1f,44.86216620922063,20482.515997075236,0,0.0,131.49166666666667,0,0,1498,em2021
az-em2021-folgada,first_fit,47,305e2b27726305e196eea090fabc312280b39e1f,44.89290132547434,20435.40515988783,0,0.0,132.07916666666668,0,0,1550,em2021
az-em2021-folgada,first_fit,48,305e2b27726305e196eea090fabc312280b39e1f,45.62712523289471,20822.233363727595,0,0.0,134.16666666666666,0,0,1034,em2021
az-em2021-folgada,first_fit,49,305e2b27726305e196eea090fabc312280b39e1f,44.38951369246267,20507.464340784296,0,0.0,131.34166666666667,0,0,1470,em2021
az-em2021-folgada,first_fit,50,305e2b27726305e196eea090fabc312280b39e1f,44.31993546493745,20637.901240980835,0,0.0,130.49583333333334,0,0,1224,em2021
